CustomerId,CreditScore,Gender,Age,Advisor_Age,Retired,Children(Y/N),InvestmentGoal,Tenure,ModeCommunication,Recency,Frequency,Monetory, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,NumOfProducts,NumberOfClients,PortfolioSize,Financial_lit,rating_trust,other_advisors,rating_knowledge,rating_comm,rating_avail,comments,Exited
15699309,510,0,38,54,0,1,Education,4,email,3,1,1,0.333,0.333,0,0.333,0,0,0.183,0.023,0.98,1,5,118913.53,5,1,1,2,3,2,-0.223780316,1
15725737,669,1,46,60,0,0,Education,3,personal,5,5,1,0.333,0,0.333,0.333,0,0,0.164,0.017,1.14,2,23,8487.75,5,4,1,3,2,2,0.712192124,0
15625047,846,0,38,51,0,0,Retirement,5,email,4,2,4,0,0.333,0.333,0.333,0,0,0.184,0.022,1.07,1,15,187616.16,4,5,1,3,1,4,0.636913506,0
15738191,577,1,25,35,0,0,Short-term,3,personal,3,4,5,0.333,0.333,0,0,0.333,0,0.147,0.015,0.95,2,6,124508.29,4,4,0,2,3,2,0.408044221,0
15736816,756,1,36,50,0,0,Retirement,2,phone,5,5,5,0.333,0,0.333,0,0.333,0,0.168,0.017,1.17,1,14,170041.95,3,3,0,2,3,2,-0.604975991,0
15700772,571,1,44,36,0,1,Retirement,9,phone,3,2,1,0,0.333,0.333,0,0.333,0,0.146,0.014,0.99,2,20,38433.35,2,3,1,2,3,1,-0.358330236,0
15728693,574,0,43,49,0,1,Retirement,3,skype,5,5,5,0.333,0,0,0.333,0.333,0,0.127,0.01,0.99,1,19,100187.43,5,4,0,3,1,3,0.367396026,0
15656300,411,1,29,45,0,0,Retirement,0,personal,3,4,3,0,0.333,0,0.333,0.333,0,0.124,0.007,1.09,2,6,53483.21,5,5,1,1,4,1,0.375565647,0
15589475,591,0,39,51,0,1,Education,3,skype,1,2,3,0,0,0.333,0.333,0.333,0,0.138,0.012,1.04,3,7,140469.38,4,1,1,2,5,4,0.499932432,1
15706552,533,1,36,42,0,0,Short-term,7,phone,5,5,2,0.333,0.333,0,0,0,0.333,0.17,0.024,0.82,1,6,156731.91,3,5,1,2,4,3,0.591360256,0
15750181,553,1,41,41,0,0,Education,9,phone,4,3,5,0.333,0,0.333,0,0,0.333,0.135,0.012,1.07,2,25,81898.81,2,4,0,1,4,3,-0.45029566,0
15659428,520,0,42,36,0,0,Short-term,6,email,4,2,2,0,0.333,0.333,0,0,0.333,0.185,0.024,0.98,2,17,34410.55,3,4,1,3,3,3,0.379411586,0
15732963,722,0,29,51,0,0,Short-term,9,personal,4,5,2,0.333,0,0,0.333,0,0.333,0.127,0.011,0.94,2,23,142033.07,4,3,1,2,2,5,0.580760714,0
15794171,475,0,45,35,0,0,Short-term,0,phone,1,1,1,0,0.333,0,0.333,0,0.333,0.156,0.017,0.99,1,5,27822.99,4,2,0,3,5,2,0.317846727,1
15788448,490,1,31,60,0,0,Short-term,3,personal,4,2,3,0,0,0.333,0.333,0,0.333,0.157,0.016,1.07,1,22,114066.77,5,3,1,2,1,1,-0.350648961,0
15729599,804,1,33,50,0,0,Education,7,email,5,4,5,0.333,0,0,0,0.333,0.333,0.138,0.014,0.96,1,8,98453.45,5,3,1,1,5,2,0.569377838,0
15717426,850,1,36,45,0,1,Retirement,7,phone,4,5,4,0,0.333,0,0,0.333,0.333,0.138,0.012,0.97,1,14,40812.9,2,4,1,2,5,1,-0.559266239,0
15585768,582,1,41,47,0,1,Short-term,6,phone,2,2,1,0,0,0.333,0,0.333,0.333,0.141,0.014,0.95,2,22,178074.04,4,3,0,3,5,5,0.578107828,0
15619360,472,1,40,46,0,0,Retirement,4,personal,2,5,3,0,0,0,0.333,0.333,0.333,0.09,0,1.13,1,24,70154.22,3,3,0,2,4,5,0.471585338,0
15738148,465,0,51,58,0,0,Education,8,email,3,1,4,0.25,0.25,0.25,0.25,0,0,0.191,0.024,1.06,1,6,181297.65,3,3,1,1,2,2,-0.366024364,1
15687946,556,0,61,53,0,1,Education,2,skype,2,3,5,0.25,0.25,0.25,0,0.25,0,0.17,0.019,1.02,1,8,94153.83,5,4,0,1,5,5,0.4583758,0
15755196,834,0,49,58,0,1,Retirement,2,personal,2,2,2,0.25,0.25,0,0.25,0.25,0,0.15,0.015,0.98,1,18,194365.76,5,1,1,3,1,1,-0.531657309,1
15684171,660,0,61,58,0,1,Education,5,personal,5,3,1,0.25,0,0.25,0.25,0.25,0,0.153,0.015,1.08,1,6,158338.39,4,3,1,2,1,5,0.478466888,0
15754849,776,0,32,43,0,0,Short-term,4,phone,3,3,2,0,0.25,0.25,0.25,0.25,0,0.152,0.014,1.05,2,14,126517.46,4,3,1,2,1,3,-0.554497384,0
15602280,829,0,27,39,0,1,Education,9,skype,1,2,1,0.25,0.25,0.25,0,0,0.25,0.177,0.023,0.97,1,12,119708.21,5,3,0,2,5,3,0.675473212,1
15771573,637,0,39,57,0,0,Retirement,9,email,3,2,5,0.25,0.25,0,0.25,0,0.25,0.17,0.023,0.86,1,21,117622.8,4,3,0,3,1,4,0.302573851,1
15766205,550,1,38,60,0,1,Retirement,2,email,2,3,4,0.25,0,0.25,0.25,0,0.25,0.154,0.017,1.04,1,21,90878.13,4,3,1,1,1,1,-0.370930203,0
15771873,776,0,37,47,0,0,Retirement,2,skype,2,4,5,0,0.25,0.25,0.25,0,0.25,0.179,0.022,1,2,15,194099.12,2,5,1,1,4,3,0.609356123,0
15616550,698,1,44,58,0,1,Retirement,10,personal,5,4,3,0.25,0.25,0,0,0.25,0.25,0.163,0.021,0.83,2,19,198059.16,3,3,1,1,4,2,-0.635025882,0
15768193,585,1,36,41,0,1,Short-term,5,personal,3,2,2,0.25,0,0.25,0,0.25,0.25,0.153,0.016,1.03,2,22,86424.57,2,3,0,1,3,5,-0.52737285,0
15683553,788,0,33,40,0,0,Education,5,phone,3,4,5,0,0.25,0.25,0,0.25,0.25,0.164,0.019,0.93,2,13,116978.19,3,4,1,1,2,5,0.410910754,0
15702298,655,1,41,45,0,1,Education,8,personal,2,1,5,0.25,0,0,0.25,0.25,0.25,0.129,0.012,0.89,1,20,164040.94,5,3,1,3,4,5,0.488575034,1
15569590,601,1,42,45,0,1,Retirement,1,email,1,1,5,0,0.25,0,0.25,0.25,0.25,0.14,0.012,1.01,1,5,40014.76,3,2,1,3,1,5,-0.619082488,1
15760861,619,1,43,46,0,0,Short-term,1,email,4,5,4,0,0,0.25,0.25,0.25,0.25,0.138,0.013,0.97,1,10,113410.49,2,5,1,1,1,4,-0.25552935,0
15630053,656,1,45,41,0,0,Education,5,personal,5,4,4,0.2,0.2,0.2,0.2,0.2,0,0.172,0.02,1.01,1,18,87107.57,5,3,0,3,1,1,-0.39695493,0
15647091,725,1,19,46,0,0,Education,0,email,3,4,5,0.2,0.2,0.2,0.2,0,0.2,0.181,0.023,0.96,1,6,45613.75,3,3,1,2,2,4,-0.525764843,0
15623944,511,0,66,56,1,0,Short-term,4,skype,1,1,1,0.2,0.2,0.2,0,0.2,0.2,0.171,0.022,0.94,1,19,1643.11,5,1,0,3,4,4,0.269802991,1
15804771,614,1,51,44,0,1,Short-term,4,phone,3,2,5,0.2,0.2,0,0.2,0.2,0.2,0.153,0.018,0.88,1,17,46775.28,3,5,0,2,1,5,0.606292055,0
15651280,742,1,35,57,0,0,Education,5,skype,5,4,4,0.2,0,0.2,0.2,0.2,0.2,0.156,0.018,0.97,1,6,84509.57,4,3,1,1,2,5,0.512631591,0
15773469,687,0,27,37,0,1,Retirement,9,email,4,5,1,0,0.2,0.2,0.2,0.2,0.2,0.161,0.018,0.98,2,21,126494.82,2,3,1,2,1,1,-0.030531979,0
15702014,555,1,33,47,0,1,Short-term,1,phone,5,4,2,0.167,0.167,0.167,0.167,0.167,0.167,0.173,0.022,0.91,2,8,178798.13,3,5,1,3,1,1,-0.506434465,0
15751208,684,1,56,35,0,1,Retirement,8,email,2,5,1,1,0,0,0,0,0,0.139,0.01,1.33,1,15,99398.36,5,5,1,2,1,2,0.514672222,0
15592461,603,1,26,51,0,0,Short-term,4,personal,2,4,4,0,1,0,0,0,0,0.143,0.01,1.17,1,13,92840.67,4,4,0,2,2,2,-0.488782768,0
15789484,751,0,36,54,0,0,Retirement,6,phone,5,5,2,0,0,1,0,0,0,0.173,0.018,1.3,2,15,27758.36,5,4,0,3,4,3,0.310766277,0
15696061,581,0,34,60,0,1,Education,1,personal,3,3,5,0,0,0,1,0,0,0.096,-0.002,1.39,1,7,110431.51,5,4,0,2,2,3,0.632633692,0
15641582,735,1,43,44,0,0,Short-term,10,email,4,3,3,0,0,0,0,1,0,0.096,0.001,1.04,2,11,196673.28,3,3,0,2,4,2,-0.230940441,0
15638424,661,0,35,47,0,0,Education,5,email,3,5,2,0,0,0,0,0,1,0.07,-0.005,1.1,2,20,113656.85,5,4,1,2,1,3,0.188258751,0
15755648,675,0,21,52,0,1,Short-term,8,email,3,4,5,0.5,0.5,0,0,0,0,0.195,0.026,0.97,1,10,18203,3,4,0,1,1,1,-0.479894706,0
15703793,738,1,58,37,0,1,Retirement,2,phone,1,2,5,0.5,0,0.5,0,0,0,0.164,0.016,1.32,4,20,28373.86,3,2,0,2,5,1,-0.722024456,1
15620344,813,1,29,59,0,1,Retirement,6,email,4,2,2,0,0.5,0.5,0,0,0,0.185,0.022,1.06,1,22,33953.87,3,4,0,3,1,1,-0.54671422,0
15812518,657,0,37,60,0,0,Short-term,0,personal,4,5,2,0.5,0,0,0.5,0,0,0.15,0.015,1.05,1,17,44203.55,4,4,0,1,5,5,0.51212381,0
15779052,604,0,25,37,0,1,Education,5,phone,2,5,5,0,0.5,0,0.5,0,0,0.159,0.015,1.17,2,6,58426.81,4,3,1,2,5,4,0.426350595,0
15770811,519,1,36,50,0,1,Short-term,9,phone,5,4,1,0,0,0.5,0.5,0,0,0.17,0.018,1.16,2,12,145562.4,3,3,0,2,1,3,-0.582931719,0
15780961,735,0,21,36,0,1,Short-term,1,email,3,2,4,0.5,0,0,0,0.5,0,0.14,0.011,1.09,2,11,22388,3,4,1,2,4,3,0.459210745,0
15614049,664,1,55,37,0,0,Education,8,email,5,5,5,0,0.5,0,0,0.5,0,0.123,0.008,1.01,2,6,139161.64,5,5,1,1,1,2,-0.339247136,0
15662085,678,0,32,42,0,1,Education,9,phone,5,2,1,0,0,0.5,0,0.5,0,0.145,0.013,1.07,1,21,148210.64,2,5,1,2,3,3,0.563765949,0
15575185,757,1,33,46,0,0,Retirement,5,personal,2,5,1,0,0,0,0.5,0.5,0,0.09,-0.001,1.15,1,15,194239.63,5,4,1,3,4,2,0.458282801,0
15803136,416,0,41,44,0,1,Education,10,personal,2,5,5,0.5,0,0,0,0,0.5,0.118,0.009,0.97,2,21,98301.61,2,4,0,3,4,1,-0.422160138,0
15706021,665,0,34,36,0,1,Education,1,personal,3,3,1,0,0.5,0,0,0,0.5,0.154,0.017,0.99,2,5,171413.66,3,5,0,2,4,4,0.479129705,0
15663706,777,0,32,54,0,1,Retirement,2,skype,3,1,3,0,0,0.5,0,0,0.5,0.138,0.013,1.04,1,24,136458.19,5,1,0,2,2,4,-0.583344777,1
15641732,543,0,36,57,0,1,Education,3,email,3,5,3,0,0,0,0.5,0,0.5,0.101,0.003,1.12,2,16,26019.59,5,4,1,1,1,3,-0.524986421,0
15701164,506,0,34,57,0,0,Retirement,4,personal,5,3,2,0,0,0,0,0.5,0.5,0.093,0.001,1.01,1,23,159235.29,2,5,1,3,1,4,0.236030629,0
15738751,493,0,46,56,0,0,Short-term,4,email,3,5,3,0.333,0.333,0.333,0,0,0,0.192,0.024,1.08,2,21,1907.66,4,3,0,2,1,5,0.334121072,0
15805254,652,0,75,49,1,1,Short-term,10,skype,3,2,3,0.333,0.333,0,0.333,0,0,0.183,0.023,0.98,2,16,114675.75,4,5,1,1,3,2,0.390527747,0
15762418,750,1,22,39,0,0,Short-term,3,skype,1,2,1,0.333,0,0.333,0.333,0,0,0.164,0.017,1.14,1,18,128643.35,3,1,1,3,1,2,-0.543844306,1
15625759,729,1,30,43,0,1,Education,9,personal,3,5,2,0,0.333,0.333,0.333,0,0,0.184,0.022,1.07,2,23,151869.35,2,5,1,1,4,4,0.633226632,0
15622897,646,0,46,37,0,0,Retirement,4,skype,3,1,4,0.333,0.333,0,0,0.333,0,0.147,0.015,0.95,3,10,93251.42,5,1,0,1,1,3,-0.28231262,1
15767954,635,0,28,35,0,1,Retirement,3,skype,2,2,4,0.333,0,0.333,0,0.333,0,0.168,0.017,1.17,2,21,156791.36,4,3,1,1,3,5,0.464644015,0
15757535,647,0,44,46,0,0,Education,5,email,1,2,4,0,0.333,0.333,0,0.333,0,0.146,0.014,0.99,3,24,174205.22,5,2,1,1,1,3,-0.745104841,1
15731511,808,1,45,54,0,0,Education,7,phone,2,5,2,0.333,0,0,0.333,0.333,0,0.127,0.01,0.99,2,18,147132.46,4,4,0,3,2,1,-0.674050061,0
15809248,524,0,36,60,0,1,Education,10,phone,2,3,5,0,0.333,0,0.333,0.333,0,0.124,0.007,1.09,2,6,109614.57,3,4,1,2,2,1,-0.287723244,0
15640635,769,1,29,60,0,1,Short-term,8,personal,4,5,2,0,0,0.333,0.333,0.333,0,0.138,0.012,1.04,2,23,172290.61,2,3,0,3,1,2,-0.589316999,0
15676966,730,1,42,60,0,0,Short-term,4,phone,3,4,4,0.333,0.333,0,0,0,0.333,0.17,0.024,0.82,2,19,85982.47,4,3,0,1,2,3,-0.593347211,0
15699461,515,1,35,59,0,0,Education,10,skype,5,3,5,0.333,0,0.333,0,0,0.333,0.135,0.012,1.07,1,7,121277.78,3,3,0,2,1,2,-0.372584554,0
15738721,773,1,41,54,0,0,Retirement,9,email,2,2,5,0,0.333,0.333,0,0,0.333,0.185,0.024,0.98,1,11,64595.25,2,3,1,2,4,4,0.410735285,0
15693683,814,1,29,43,0,0,Retirement,8,skype,2,3,3,0.333,0,0,0.333,0,0.333,0.127,0.011,0.94,2,20,197276.13,4,4,0,2,3,3,0.429649648,0
15604348,710,1,22,56,0,1,Education,8,phone,5,5,3,0,0.333,0,0.333,0,0.333,0.156,0.017,0.99,2,17,99645.04,4,5,1,2,2,2,0.444451371,0
15633059,413,1,34,53,0,0,Retirement,9,phone,2,2,3,0,0,0.333,0.333,0,0.333,0.157,0.016,1.07,2,5,6534.18,2,5,1,3,3,3,0.26629603,0
15808582,665,0,40,50,0,0,Short-term,6,email,5,4,5,0.333,0,0,0,0.333,0.333,0.138,0.014,0.96,1,10,161848.03,3,5,0,3,4,4,0.358875151,0
15743192,623,0,44,56,0,1,Education,6,skype,4,2,1,0,0.333,0,0,0.333,0.333,0.138,0.012,0.97,2,6,167162.43,3,4,0,3,1,3,-0.45173298,0
15580146,738,1,31,54,0,1,Education,9,skype,4,2,3,0,0,0.333,0,0.333,0.333,0.141,0.014,0.95,1,23,41970.72,5,4,0,2,2,2,0.696403116,0
15776605,528,1,36,47,0,1,Education,7,phone,5,5,5,0,0,0,0.333,0.333,0.333,0.09,0,1.13,2,15,60536.56,3,5,0,3,1,3,0.536331975,0
15804919,670,0,65,36,1,0,Education,1,skype,3,1,3,0.25,0.25,0.25,0.25,0,0,0.191,0.024,1.06,1,23,177655.68,4,3,0,1,2,1,-0.538397061,1
15613854,622,0,46,40,0,1,Short-term,4,phone,3,1,2,0.25,0.25,0.25,0,0.25,0,0.17,0.019,1.02,2,8,30984.59,4,3,1,3,3,1,-0.630769175,1
15599195,582,1,32,57,0,1,Education,1,email,4,3,5,0.25,0.25,0,0.25,0.25,0,0.15,0.015,0.98,1,16,10054.53,3,5,0,1,5,4,0.612769741,0
15812878,785,0,36,44,0,0,Education,2,personal,5,3,4,0.25,0,0.25,0.25,0.25,0,0.153,0.015,1.08,1,8,36976.52,2,3,1,3,1,1,-0.579657252,0
15602312,605,1,33,48,0,1,Retirement,5,personal,2,3,5,0,0.25,0.25,0.25,0.25,0,0.152,0.014,1.05,1,8,71862.79,3,3,0,3,2,4,0.771372386,0
15744689,479,1,35,48,0,1,Retirement,9,skype,1,1,5,0.25,0.25,0.25,0,0,0.25,0.177,0.023,0.97,1,8,99449.86,4,3,1,3,1,2,-0.412063557,1
15803526,685,1,30,45,0,0,Short-term,3,personal,3,5,5,0.25,0.25,0,0.25,0,0.25,0.17,0.023,0.86,1,13,63082.88,4,5,1,3,1,3,0.31498815,0
15665790,538,1,39,58,0,0,Retirement,7,phone,5,3,5,0.25,0,0.25,0.25,0,0.25,0.154,0.017,1.04,2,11,27231.26,4,3,0,2,4,5,0.725726947,0
15715951,562,1,42,55,0,0,Education,2,skype,4,3,5,0,0.25,0.25,0.25,0,0.25,0.179,0.022,1,1,9,86797.41,5,5,1,2,3,1,0.514842941,0
15591100,675,1,36,38,0,1,Short-term,9,phone,3,2,3,0.25,0.25,0,0,0.25,0.25,0.163,0.021,0.83,1,7,22994.32,4,4,1,3,5,4,0.153592694,0
15609618,721,1,28,57,0,0,Retirement,9,skype,3,2,5,0.25,0,0.25,0,0.25,0.25,0.153,0.016,1.03,2,22,101300.94,3,1,1,3,3,1,-0.624261358,1
15675522,628,0,30,36,0,1,Short-term,9,email,3,3,1,0,0.25,0.25,0,0.25,0.25,0.164,0.019,0.93,2,17,74169.13,3,5,1,3,4,5,0.48860408,0
15705512,668,0,37,39,0,1,Education,6,personal,2,2,4,0.25,0,0,0.25,0.25,0.25,0.129,0.012,0.89,1,24,115638.29,3,3,1,3,4,3,0.385458709,0
15698028,506,0,41,57,0,0,Short-term,1,phone,4,4,5,0,0.25,0,0.25,0.25,0.25,0.14,0.012,1.01,2,24,31766.3,4,5,1,2,5,1,0.667659264,0
15661670,524,0,31,37,0,0,Retirement,8,phone,2,1,5,0,0,0.25,0.25,0.25,0.25,0.138,0.013,0.97,1,8,199725.39,4,2,0,2,4,4,0.298565395,1
15600781,699,1,34,36,0,1,Retirement,4,personal,4,5,4,0.2,0.2,0.2,0.2,0.2,0,0.172,0.02,1.01,2,10,120834.48,5,3,1,2,1,1,-0.528800002,0
15682472,828,1,34,59,0,0,Short-term,8,personal,3,2,1,0.2,0.2,0.2,0.2,0,0.2,0.181,0.023,0.96,2,18,38131.77,4,3,0,2,5,1,0.447264815,0
15580203,674,1,39,58,0,0,Education,6,phone,4,2,4,0.2,0.2,0.2,0,0.2,0.2,0.171,0.022,0.94,1,11,100130.95,5,3,0,2,3,3,0.666974758,0
15690673,656,0,39,48,0,0,Retirement,6,phone,3,2,5,0.2,0.2,0,0.2,0.2,0.2,0.153,0.018,0.88,2,13,141069.88,5,3,1,2,5,1,0.495661982,0
15760085,684,0,48,48,0,0,Short-term,10,personal,5,4,2,0.2,0,0.2,0.2,0.2,0.2,0.156,0.018,0.97,1,14,198129.36,4,5,0,3,3,4,0.426534554,0
15779659,625,0,28,42,0,1,Short-term,3,skype,3,4,3,0,0.2,0.2,0.2,0.2,0.2,0.161,0.018,0.98,1,21,183646.41,2,3,0,3,5,1,-0.17961145,0
15627360,432,1,42,43,0,0,Retirement,9,personal,1,2,3,0.167,0.167,0.167,0.167,0.167,0.167,0.173,0.022,0.91,1,25,110265.24,3,1,0,3,4,3,-0.488649487,1
15671137,549,0,52,58,0,0,Education,1,phone,2,2,4,1,0,0,0,0,0,0.139,0.01,1.33,1,25,8636.05,5,3,0,3,5,5,0.607810774,1
15782688,625,1,56,37,0,0,Retirement,0,personal,2,1,3,0,1,0,0,0,0,0.143,0.01,1.17,1,17,46824.08,5,3,1,1,1,4,-0.503678521,1
15575492,828,0,41,59,0,1,Education,7,phone,3,3,2,0,0,1,0,0,0,0.173,0.018,1.3,2,24,171378.77,3,3,1,1,4,5,0.571806551,0
15591607,770,1,24,38,0,0,Short-term,9,email,5,2,2,0,0,0,1,0,0,0.096,-0.002,1.39,1,17,167256.35,2,3,0,1,3,3,-0.398730144,0
15740404,758,0,34,51,0,0,Retirement,3,email,4,2,1,0,0,0,0,1,0,0.096,0.001,1.04,2,17,124226.16,2,3,1,2,5,3,0.456411821,0
15718369,795,0,33,58,0,0,Retirement,9,phone,5,3,3,0,0,0,0,0,1,0.07,-0.005,1.1,1,10,114935.21,2,3,1,3,2,5,0.556295567,0
15677871,687,1,38,57,0,0,Retirement,9,email,3,5,4,0.5,0.5,0,0,0,0,0.195,0.026,0.97,1,24,35608.88,5,5,0,2,3,4,0.504309517,0
15642004,686,1,25,56,0,0,Retirement,1,email,5,2,3,0.5,0,0.5,0,0,0,0.164,0.016,1.32,2,18,16459.37,4,4,1,1,3,5,0.678845556,0
15712543,789,1,39,50,0,1,Short-term,7,email,2,2,1,0,0.5,0.5,0,0,0,0.185,0.022,1.06,2,15,124411.08,2,5,1,1,4,2,-0.48057844,0
15584518,589,0,50,52,0,1,Education,5,skype,2,4,5,0.5,0,0,0.5,0,0,0.15,0.015,1.05,2,12,34941.23,2,4,1,3,2,4,0.529248013,0
15802381,461,0,34,37,0,0,Short-term,5,phone,4,2,5,0,0.5,0,0.5,0,0,0.159,0.015,1.17,1,14,167784.28,4,4,0,1,2,5,0.551703425,0
15610156,637,1,40,50,0,1,Retirement,2,phone,3,5,5,0,0,0.5,0.5,0,0,0.17,0.018,1.16,1,25,93165.34,3,3,0,3,5,3,0.409393554,0
15594408,584,0,48,58,0,1,Retirement,2,email,1,2,3,0.5,0,0,0,0.5,0,0.14,0.011,1.09,1,24,75161.25,5,1,1,2,3,3,-0.679818786,1
15640905,579,0,35,52,0,1,Short-term,1,skype,2,1,4,0,0.5,0,0,0.5,0,0.123,0.008,1.01,2,6,8590.83,3,1,1,1,1,5,-0.485123102,1
15698932,756,1,44,44,0,1,Short-term,10,skype,5,4,5,0,0,0.5,0,0.5,0,0.145,0.013,1.07,1,23,189543.9,2,3,1,2,2,3,-0.301262756,0
15724944,663,1,34,36,0,1,Education,7,skype,2,4,2,0,0,0,0.5,0.5,0,0.09,-0.001,1.15,2,8,180427.24,4,4,0,1,1,5,0.408681382,0
15628145,682,0,43,51,0,1,Education,5,email,4,2,4,0.5,0,0,0,0,0.5,0.118,0.009,0.97,1,14,193318.33,4,3,1,1,5,5,0.592438727,0
15713483,793,1,52,46,0,1,Education,2,phone,2,1,1,0,0.5,0,0,0,0.5,0.154,0.017,0.99,1,22,159123.82,4,3,1,3,4,2,0.620203683,1
15612350,691,0,31,40,0,0,Retirement,5,skype,3,2,1,0,0,0.5,0,0,0.5,0.138,0.013,1.04,1,24,126213.84,4,3,1,1,3,2,-0.573411823,1
15800703,485,0,21,37,0,0,Education,5,personal,2,5,1,0,0,0,0.5,0,0.5,0.101,0.003,1.12,1,16,54141.5,3,3,1,2,5,5,0.244155053,0
15705707,635,0,29,45,0,1,Education,8,phone,5,4,4,0,0,0,0,0.5,0.5,0.093,0.001,1.01,2,24,141075.51,5,5,0,3,3,2,0.49026752,0
15754105,650,1,37,56,0,0,Education,5,personal,4,2,1,0.333,0.333,0.333,0,0,0,0.192,0.024,1.08,1,20,24495.03,3,5,1,3,5,1,0.448811717,0
15703264,735,1,44,46,0,0,Retirement,9,phone,3,4,3,0.333,0.333,0,0.333,0,0,0.183,0.023,0.98,1,24,74836.34,2,3,0,1,5,2,-0.524728339,0
15794413,416,1,32,58,0,1,Short-term,0,phone,4,2,4,0.333,0,0.333,0.333,0,0,0.164,0.017,1.14,2,8,878.87,3,5,0,3,5,5,0.300400486,0
15650237,754,0,32,36,0,0,Short-term,7,phone,3,2,4,0,0.333,0.333,0.333,0,0,0.184,0.022,1.07,2,25,89520.75,4,4,1,1,5,1,0.32883971,0
